RunIndex,Score
0,926.0
1,929.0
2,834.0
3,1175.0
4,1028.0
5,880.0
6,584.0
7,615.0
8,1111.0
9,864.0
10,1311.0
11,945.0
12,927.0
13,812.0
14,1013.0
15,1100.0
16,963.0
17,653.0
18,708.0
19,1058.0
20,991.0
21,933.0
22,990.0
23,1088.0
24,986.0
25,1001.0
26,926.0
27,881.0
28,1220.0
29,1289.0
30,1048.0
31,1444.0
32,1219.0
33,954.0
34,778.0
35,1017.0
36,804.0
37,1094.0
38,985.0
39,1087.0
40,1189.0
41,1048.0
42,795.0
43,803.0
44,840.0
45,1512.0
46,912.0
47,989.0
48,1194.0
49,822.0
50,765.0
51,1083.0
52,954.0
53,1174.0
54,1289.0
55,729.0
56,779.0
57,1003.0
58,1100.0
59,1354.0
60,904.0
61,882.0
62,1048.0
63,698.0
64,928.0
65,1216.0
66,848.0
67,886.0
68,1150.0
69,1013.0
70,951.0
71,1233.0
72,1154.0
73,991.0
74,1178.0
75,1116.0
76,1541.0
77,845.0
78,1498.0
79,662.0
80,959.0
81,840.0
82,730.0
83,898.0
84,1013.0
85,978.0
86,902.0
87,922.0
88,803.0
89,918.0
90,838.0
91,1086.0
92,1114.0
93,1009.0
94,962.0
95,881.0
96,1041.0
97,1037.0
98,873.0
99,1155.0
100,987.0
101,930.0
102,876.0
103,703.0
104,1109.0
105,775.0
106,800.0
107,1366.0
108,1152.0
109,1038.0
110,1147.0
111,875.0
112,633.0
113,940.0
114,1026.0
115,768.0
116,1304.0
117,1131.0
118,650.0
119,895.0
120,948.0
121,1041.0
122,1016.0
123,916.0
124,1109.0
125,1202.0
126,1027.0
127,856.0
128,895.0
129,1362.0
130,879.0
131,1081.0
132,1193.0
133,690.0
134,1112.0
135,752.0
136,1082.0
137,1033.0
138,833.0
139,1065.0
140,1056.0
141,1095.0
142,832.0
143,659.0
144,759.0
145,1258.0
146,985.0
147,1267.0
148,962.0
149,1002.0
150,876.0
151,1036.0
152,860.0
153,640.0
154,1138.0
155,1138.0
156,1089.0
157,1227.0
158,866.0
159,1168.0
160,854.0
161,1107.0
162,1054.0
163,1250.0
164,1054.0
165,937.0
166,927.0
167,834.0
168,791.0
169,737.0
170,1087.0
171,1116.0
172,1199.0
173,1014.0
174,800.0
175,1092.0
176,1012.0
177,646.0
178,1238.0
179,1004.0
180,872.0
181,1056.0
182,996.0
183,1271.0
184,1101.0
185,745.0
186,1112.0
187,1116.0
188,809.0
189,922.0
190,1154.0
191,959.0
192,772.0
193,1021.0
194,901.0
195,1011.0
196,842.0
197,840.0
198,966.0
199,1189.0
200,992.0
201,826.0
202,787.0
203,957.0
204,1233.0
205,661.0
206,887.0
207,1200.0
208,1335.0
209,1127.0
210,1010.0
211,1182.0
212,1041.0
213,1148.0
214,1348.0
215,948.0
216,676.0
217,1092.0
218,944.0
219,665.0
220,1321.0
221,840.0
222,840.0
223,1353.0
224,1135.0
225,1147.0
226,564.0
227,895.0
228,1248.0
229,1224.0
230,942.0
231,1246.0
232,1255.0
233,594.0
234,924.0
235,1181.0
236,880.0
237,1129.0
238,1150.0
239,1127.0
240,1023.0
241,740.0
242,774.0
243,981.0
244,848.0
245,1199.0
246,1020.0
247,1231.0
248,981.0
249,1017.0
250,1304.0
251,1324.0
252,923.0
253,886.0
254,1128.0
255,1174.0
256,1212.0
257,722.0
258,1047.0
259,939.0
260,1082.0
261,841.0
262,1070.0
263,945.0
264,862.0
265,815.0
266,1019.0
267,645.0
268,1060.0
269,962.0
270,954.0
271,1042.0
272,1101.0
273,1235.0
274,769.0
275,893.0
276,759.0
277,1128.0
278,981.0
279,830.0
280,760.0
281,975.0
282,992.0
283,1048.0
284,1089.0
285,849.0
286,1211.0
287,864.0
288,541.0
289,753.0
290,916.0
291,691.0
292,1248.0
293,1164.0
294,994.0
295,697.0
296,1116.0
297,753.0
298,924.0
299,1200.0
