RunIndex,Score
0,1558.0
1,1128.0
2,1568.0
3,1629.0
4,2064.0
5,1481.0
6,1895.0
7,1975.0
8,2004.0
9,1805.0
10,2214.0
11,1728.0
12,1665.0
13,2315.0
14,2009.0
15,2040.0
16,1847.0
17,1314.0
18,1944.0
19,1702.0
20,2087.0
21,1625.0
22,1362.0
23,2214.0
24,1644.0
25,2126.0
26,1774.0
27,2215.0
28,1974.0
29,1968.0
30,2556.0
31,1812.0
32,1666.0
33,1478.0
34,2240.0
35,2236.0
36,1508.0
37,2102.0
38,2326.0
39,2333.0
40,2330.0
41,1409.0
42,1998.0
43,1923.0
44,1926.0
45,2064.0
46,2299.0
47,1617.0
48,1518.0
49,1762.0
50,1744.0
51,1624.0
52,1614.0
53,2326.0
54,1884.0
55,2006.0
56,2053.0
57,1501.0
58,1912.0
59,1893.0
60,1948.0
61,1529.0
62,2229.0
63,1844.0
64,1513.0
65,2251.0
66,1206.0
67,2509.0
68,2078.0
69,2294.0
70,2367.0
71,2127.0
72,1609.0
73,1261.0
74,1636.0
75,1760.0
76,1822.0
77,2450.0
78,1636.0
79,1754.0
80,1985.0
81,2092.0
82,1571.0
83,1405.0
84,1473.0
85,2109.0
86,2669.0
87,2301.0
88,1488.0
89,1244.0
90,1712.0
91,1471.0
92,1470.0
93,1643.0
94,2613.0
95,2410.0
96,2370.0
97,1490.0
98,2039.0
99,2153.0
100,1605.0
101,2570.0
102,2180.0
103,1800.0
104,2324.0
105,2269.0
106,1592.0
107,1709.0
108,1696.0
109,1718.0
110,2032.0
111,1804.0
112,1693.0
113,1842.0
114,2110.0
115,1443.0
116,1482.0
117,1401.0
118,1998.0
119,1510.0
120,2270.0
121,1365.0
122,1098.0
123,1475.0
124,1935.0
125,1886.0
126,1270.0
127,1902.0
128,2425.0
129,1455.0
130,1858.0
131,1799.0
132,2000.0
133,1860.0
134,2168.0
135,1658.0
136,2169.0
137,1474.0
138,1397.0
139,2145.0
140,2406.0
141,1909.0
142,2329.0
143,2234.0
144,1452.0
145,1378.0
146,1120.0
147,1764.0
148,1852.0
149,1793.0
150,1982.0
151,2075.0
152,2230.0
153,2138.0
154,1448.0
155,2444.0
156,1567.0
157,1592.0
158,1534.0
159,1947.0
160,2083.0
161,2115.0
162,1902.0
163,1605.0
164,1635.0
165,1959.0
166,2316.0
167,2351.0
168,2147.0
169,1772.0
170,1553.0
171,2075.0
172,1140.0
173,1942.0
174,2204.0
175,1777.0
176,1997.0
177,1678.0
178,1866.0
179,1669.0
180,2497.0
181,1799.0
182,2178.0
183,2321.0
184,2081.0
185,2452.0
186,1972.0
187,2514.0
188,1488.0
189,1410.0
190,1966.0
191,2014.0
192,1646.0
193,2009.0
194,2082.0
195,2036.0
196,1632.0
197,1772.0
198,1551.0
199,1604.0
200,1791.0
201,1974.0
202,1566.0
203,1932.0
204,1966.0
205,1759.0
206,1204.0
207,1946.0
208,1396.0
209,1698.0
210,2156.0
211,1921.0
212,2121.0
213,1816.0
214,1848.0
215,1815.0
216,1700.0
217,1335.0
218,2025.0
219,1903.0
220,1962.0
221,1886.0
222,1600.0
223,1663.0
224,1777.0
225,1678.0
226,1736.0
227,1628.0
228,1691.0
229,1995.0
230,1516.0
231,1842.0
232,1624.0
233,1458.0
234,1825.0
235,1646.0
236,2212.0
237,1472.0
238,2271.0
239,1785.0
240,1490.0
241,2050.0
242,1763.0
243,2028.0
244,2175.0
245,1718.0
246,2054.0
247,1435.0
248,1839.0
249,2279.0
250,1515.0
251,2205.0
252,1206.0
253,1628.0
254,1734.0
255,1883.0
256,1579.0
257,2030.0
258,1941.0
259,2034.0
260,1918.0
261,1806.0
262,1306.0
263,1857.0
264,1920.0
265,1592.0
266,1418.0
267,2011.0
268,1460.0
269,1990.0
270,2305.0
271,1858.0
272,1468.0
273,1586.0
274,2072.0
275,2062.0
276,2091.0
277,2878.0
278,1477.0
279,1536.0
280,1201.0
281,1845.0
282,1836.0
283,1980.0
284,1345.0
285,1814.0
286,1584.0
287,1874.0
288,1633.0
289,1868.0
290,2354.0
291,1592.0
292,1834.0
293,2180.0
294,2057.0
295,1908.0
296,1958.0
297,2186.0
298,1469.0
299,1638.0
