RunIndex,Score
0,824.0
1,834.0
2,963.0
3,1170.0
4,936.0
5,1188.0
6,1068.0
7,1182.0
8,823.0
9,1096.0
10,1252.0
11,1555.0
12,635.0
13,1099.0
14,841.0
15,828.0
16,1114.0
17,1012.0
18,1029.0
19,901.0
20,922.0
21,1269.0
22,985.0
23,852.0
24,842.0
25,869.0
26,1230.0
27,1107.0
28,880.0
29,1208.0
30,1480.0
31,1006.0
32,838.0
33,858.0
34,972.0
35,761.0
36,761.0
37,944.0
38,1144.0
39,1189.0
40,981.0
41,975.0
42,714.0
43,1041.0
44,637.0
45,1324.0
46,728.0
47,1105.0
48,676.0
49,1184.0
50,892.0
51,804.0
52,1058.0
53,918.0
54,798.0
55,1112.0
56,676.0
57,835.0
58,750.0
59,795.0
60,715.0
61,939.0
62,1490.0
63,822.0
64,1196.0
65,928.0
66,923.0
67,1035.0
68,916.0
69,1045.0
70,982.0
71,1122.0
72,688.0
73,1353.0
74,1023.0
75,953.0
76,1194.0
77,670.0
78,733.0
79,1294.0
80,1009.0
81,967.0
82,1046.0
83,948.0
84,1178.0
85,1128.0
86,932.0
87,704.0
88,993.0
89,1068.0
90,1071.0
91,1241.0
92,1291.0
93,1219.0
94,1079.0
95,1051.0
96,1021.0
97,1000.0
98,882.0
99,1233.0
100,1008.0
101,1014.0
102,1082.0
103,670.0
104,861.0
105,913.0
106,997.0
107,843.0
108,999.0
109,983.0
110,1221.0
111,1123.0
112,1228.0
113,1360.0
114,1122.0
115,1300.0
116,873.0
117,1056.0
118,1059.0
119,1595.0
120,874.0
121,860.0
122,982.0
123,960.0
124,1002.0
125,1228.0
126,837.0
127,677.0
128,1009.0
129,952.0
130,1233.0
131,1029.0
132,1195.0
133,836.0
134,1138.0
135,1176.0
136,920.0
137,1012.0
138,982.0
139,957.0
140,1126.0
141,986.0
142,1383.0
143,1237.0
144,939.0
145,1065.0
146,735.0
147,1173.0
148,1076.0
149,729.0
150,1291.0
151,957.0
152,925.0
153,1053.0
154,988.0
155,1066.0
156,1202.0
157,728.0
158,801.0
159,1157.0
160,781.0
161,893.0
162,828.0
163,1133.0
164,758.0
165,1063.0
166,850.0
167,836.0
168,681.0
169,975.0
170,907.0
171,1163.0
172,948.0
173,992.0
174,1188.0
175,872.0
176,966.0
177,1178.0
178,832.0
179,968.0
180,687.0
181,1229.0
182,770.0
183,1350.0
184,729.0
185,972.0
186,877.0
187,920.0
188,1111.0
189,903.0
190,1035.0
191,1190.0
192,1131.0
193,740.0
194,1450.0
195,1120.0
196,1113.0
197,974.0
198,1534.0
199,626.0
200,1258.0
201,902.0
202,891.0
203,1048.0
204,792.0
205,877.0
206,1008.0
207,1001.0
208,981.0
209,930.0
210,769.0
211,1081.0
212,857.0
213,1316.0
214,913.0
215,507.0
216,784.0
217,796.0
218,755.0
219,962.0
220,800.0
221,968.0
222,972.0
223,763.0
224,677.0
225,917.0
226,1131.0
227,1072.0
228,1372.0
229,960.0
230,1256.0
231,941.0
232,902.0
233,1206.0
234,1248.0
235,936.0
236,656.0
237,646.0
238,1065.0
239,811.0
240,1079.0
241,915.0
242,891.0
243,742.0
244,1339.0
245,1079.0
246,1066.0
247,1530.0
248,1218.0
249,1153.0
250,1006.0
251,864.0
252,781.0
253,1030.0
254,1591.0
255,911.0
256,1085.0
257,1074.0
258,1035.0
259,951.0
260,1094.0
261,1098.0
262,953.0
263,820.0
264,1163.0
265,1030.0
266,798.0
267,994.0
268,915.0
269,832.0
270,883.0
271,965.0
272,936.0
273,869.0
274,750.0
275,1004.0
276,928.0
277,1430.0
278,986.0
279,860.0
280,836.0
281,1134.0
282,929.0
283,899.0
284,718.0
285,885.0
286,600.0
287,1032.0
288,1156.0
289,1043.0
290,1334.0
291,1006.0
292,842.0
293,986.0
294,931.0
295,753.0
296,1227.0
297,1081.0
298,1002.0
299,1126.0
