RunIndex,Score
0,1103.0
1,1190.0
2,1748.0
3,1038.0
4,1834.0
5,1098.0
6,1428.0
7,1212.0
8,1555.0
9,1514.0
10,1314.0
11,1189.0
12,1056.0
13,1601.0
14,1682.0
15,974.0
16,1163.0
17,1365.0
18,1350.0
19,1856.0
20,1173.0
21,1489.0
22,1259.0
23,1408.0
24,1869.0
25,1595.0
26,1453.0
27,1570.0
28,1181.0
29,1322.0
30,1730.0
31,1546.0
32,1561.0
33,1637.0
34,1773.0
35,1213.0
36,1106.0
37,1311.0
38,939.0
39,1529.0
40,1257.0
41,1287.0
42,1454.0
43,1468.0
44,1378.0
45,1999.0
46,1521.0
47,1144.0
48,1282.0
49,1563.0
50,1344.0
51,1744.0
52,1289.0
53,1247.0
54,1487.0
55,1455.0
56,1654.0
57,1659.0
58,1054.0
59,1244.0
60,1311.0
61,1624.0
62,1260.0
63,1432.0
64,1106.0
65,1121.0
66,984.0
67,1251.0
68,1613.0
69,1111.0
70,1565.0
71,1654.0
72,1678.0
73,1485.0
74,1665.0
75,1265.0
76,1580.0
77,1009.0
78,1032.0
79,1682.0
80,1057.0
81,1199.0
82,881.0
83,1937.0
84,1288.0
85,1344.0
86,1137.0
87,1225.0
88,1310.0
89,912.0
90,1308.0
91,1167.0
92,1304.0
93,1003.0
94,1080.0
95,1819.0
96,1393.0
97,1228.0
98,1093.0
99,1234.0
100,1152.0
101,1445.0
102,1247.0
103,1120.0
104,1360.0
105,897.0
106,1462.0
107,1291.0
108,1521.0
109,1169.0
110,1456.0
111,1339.0
112,1304.0
113,1269.0
114,1190.0
115,1361.0
116,1278.0
117,1638.0
118,1832.0
119,1377.0
120,1603.0
121,1312.0
122,1239.0
123,1424.0
124,1001.0
125,1482.0
126,1418.0
127,1698.0
128,1338.0
129,1254.0
130,1544.0
131,1751.0
132,1376.0
133,1061.0
134,1530.0
135,1591.0
136,1428.0
137,1254.0
138,1771.0
139,1259.0
140,1461.0
141,1423.0
142,1312.0
143,1354.0
144,1166.0
145,1426.0
146,1210.0
147,1198.0
148,1192.0
149,1682.0
150,1660.0
151,1752.0
152,1101.0
153,1621.0
154,1894.0
155,1111.0
156,1383.0
157,1229.0
158,1372.0
159,1268.0
160,1040.0
161,1307.0
162,1620.0
163,1203.0
164,1448.0
165,1665.0
166,1407.0
167,917.0
168,1571.0
169,1049.0
170,1433.0
171,1288.0
172,1117.0
173,1107.0
174,1358.0
175,1267.0
176,1112.0
177,1464.0
178,1703.0
179,1366.0
180,1299.0
181,1281.0
182,1750.0
183,1577.0
184,630.0
185,1311.0
186,1621.0
187,1339.0
188,1291.0
189,1334.0
190,1326.0
191,1377.0
192,1315.0
193,1197.0
194,1534.0
195,1483.0
196,1304.0
197,938.0
198,1318.0
199,1314.0
200,1366.0
201,1197.0
202,1484.0
203,890.0
204,1534.0
205,1145.0
206,1237.0
207,1579.0
208,1423.0
209,1357.0
210,1452.0
211,1246.0
212,1203.0
213,1285.0
214,1465.0
215,1787.0
216,1360.0
217,603.0
218,1763.0
219,876.0
220,1133.0
221,1531.0
222,1095.0
223,1031.0
224,1581.0
225,1298.0
226,1479.0
227,1273.0
228,1048.0
229,1075.0
230,1296.0
231,1372.0
232,1345.0
233,1133.0
234,1315.0
235,1127.0
236,1206.0
237,1276.0
238,1689.0
239,1329.0
240,1450.0
241,1092.0
242,1581.0
243,1179.0
244,1124.0
245,1186.0
246,1699.0
247,1176.0
248,1552.0
249,1400.0
250,1175.0
251,1558.0
252,1351.0
253,1780.0
254,1451.0
255,1260.0
256,1249.0
257,1563.0
258,1360.0
259,1605.0
260,1137.0
261,1305.0
262,1191.0
263,1105.0
264,1119.0
265,1464.0
266,1592.0
267,1419.0
268,1952.0
269,827.0
270,936.0
271,1673.0
272,1386.0
273,1076.0
274,1553.0
275,1497.0
276,976.0
277,1373.0
278,1263.0
279,1502.0
280,1459.0
281,1781.0
282,1356.0
283,1035.0
284,1146.0
285,1043.0
286,1276.0
287,1618.0
288,983.0
289,968.0
290,1437.0
291,1213.0
292,1783.0
293,1583.0
294,1099.0
295,1468.0
296,1301.0
297,1142.0
298,1479.0
299,1367.0
