RunIndex,Score
0,8575.0
1,10178.0
2,8676.0
3,8964.0
4,10916.0
5,10211.0
6,11935.0
7,9634.0
8,11213.0
9,13457.0
10,11210.0
11,10011.0
12,8680.0
13,10216.0
14,8861.0
15,11316.0
16,9424.0
17,11943.0
18,8443.0
19,9834.0
20,8652.0
21,10410.0
22,9617.0
23,12142.0
24,12043.0
25,12918.0
26,11584.0
27,9464.0
28,10700.0
29,10900.0
30,11278.0
31,8076.0
32,11386.0
33,13815.0
34,9163.0
35,9539.0
36,8716.0
37,13881.0
38,12580.0
39,10890.0
40,8251.0
41,12400.0
42,8609.0
43,8426.0
44,11010.0
45,10924.0
46,11006.0
47,11524.0
48,9278.0
49,13091.0
50,8862.0
51,10381.0
52,10836.0
53,7865.0
54,8082.0
55,9626.0
56,11334.0
57,9543.0
58,8684.0
59,10702.0
60,9396.0
61,10438.0
62,11460.0
63,9467.0
64,8426.0
65,8944.0
66,9182.0
67,11075.0
68,12594.0
69,11742.0
70,10080.0
71,10031.0
72,11546.0
73,6803.0
74,7922.0
75,8230.0
76,7715.0
77,10311.0
78,11757.0
79,9938.0
80,11616.0
81,10892.0
82,8781.0
83,9777.0
84,9450.0
85,10167.0
86,7704.0
87,10586.0
88,9415.0
89,8032.0
90,10368.0
91,9716.0
92,11756.0
93,8590.0
94,10662.0
95,8114.0
96,10448.0
97,8828.0
98,10762.0
99,6544.0
100,11812.0
101,9443.0
102,8542.0
103,8772.0
104,10273.0
105,11250.0
106,10417.0
107,9194.0
108,11177.0
109,8735.0
110,12743.0
111,12018.0
112,10624.0
113,10656.0
114,10979.0
115,10986.0
116,8106.0
117,7461.0
118,11426.0
119,9638.0
120,10862.0
121,7708.0
122,8592.0
123,10904.0
124,9070.0
125,9998.0
126,8554.0
127,10022.0
128,11383.0
129,8794.0
130,8595.0
131,11314.0
132,12060.0
133,12254.0
134,9542.0
135,9578.0
136,11464.0
137,8741.0
138,11011.0
139,7391.0
140,11168.0
141,8857.0
142,9230.0
143,12686.0
144,11394.0
145,11632.0
146,9032.0
147,12252.0
148,10584.0
149,10084.0
150,10243.0
151,11293.0
152,9757.0
153,10200.0
154,11602.0
155,12468.0
156,9762.0
157,8308.0
158,12922.0
159,11330.0
160,10614.0
161,11319.0
162,9230.0
163,8791.0
164,8268.0
165,10405.0
166,12534.0
167,8542.0
168,8223.0
169,12896.0
170,8394.0
171,9870.0
172,11373.0
173,8950.0
174,11376.0
175,9128.0
176,11941.0
177,9176.0
178,12008.0
179,10424.0
180,9282.0
181,10885.0
182,11810.0
183,11027.0
184,8056.0
185,12710.0
186,10886.0
187,10159.0
188,13289.0
189,10014.0
190,8788.0
191,10438.0
192,10800.0
193,11342.0
194,11211.0
195,7867.0
196,9272.0
197,12438.0
198,9268.0
199,9616.0
200,8582.0
201,13051.0
202,11237.0
203,11637.0
204,9133.0
205,11678.0
206,8909.0
207,8826.0
208,10547.0
209,8264.0
210,9890.0
211,9436.0
212,12798.0
213,11606.0
214,11201.0
215,9700.0
216,12468.0
217,9756.0
218,10272.0
219,7900.0
220,11911.0
221,10922.0
222,9146.0
223,10824.0
224,11821.0
225,11876.0
226,9441.0
227,8604.0
228,11640.0
229,10921.0
230,9775.0
231,10636.0
232,7817.0
233,9755.0
234,11654.0
235,8428.0
236,10799.0
237,10034.0
238,11874.0
239,8168.0
240,8712.0
241,7575.0
242,8962.0
243,11828.0
244,11147.0
245,8542.0
246,10222.0
247,9615.0
248,12048.0
249,10395.0
250,11672.0
251,12458.0
252,11671.0
253,10376.0
254,8415.0
255,8133.0
256,11364.0
257,10043.0
258,10266.0
259,12755.0
260,10518.0
261,9799.0
262,10309.0
263,9154.0
264,12683.0
265,8142.0
266,11584.0
267,7883.0
268,8549.0
269,11189.0
270,11967.0
271,7434.0
272,10365.0
273,11610.0
274,10392.0
275,9080.0
276,8908.0
277,9310.0
278,8855.0
279,10692.0
280,8991.0
281,10554.0
282,9544.0
283,8703.0
284,10583.0
285,7916.0
286,9610.0
287,9342.0
288,8066.0
289,10056.0
290,11232.0
291,11378.0
292,10308.0
293,8176.0
294,10578.0
295,8870.0
296,11962.0
297,7962.0
298,9455.0
299,11712.0
