RunIndex,Score
0,2071.0
1,1902.0
2,2038.0
3,1950.0
4,2095.0
5,2061.0
6,2324.0
7,2663.0
8,2223.0
9,2289.0
10,1679.0
11,1828.0
12,2103.0
13,2090.0
14,2155.0
15,2115.0
16,1436.0
17,1671.0
18,2128.0
19,1950.0
20,2753.0
21,1815.0
22,2208.0
23,2141.0
24,1718.0
25,1842.0
26,1646.0
27,1881.0
28,2177.0
29,1890.0
30,2513.0
31,1999.0
32,1889.0
33,2129.0
34,2007.0
35,1728.0
36,1530.0
37,2239.0
38,1902.0
39,2064.0
40,1762.0
41,2401.0
42,2047.0
43,1571.0
44,1764.0
45,2191.0
46,1452.0
47,1832.0
48,2014.0
49,1968.0
50,1652.0
51,2113.0
52,1659.0
53,2301.0
54,2081.0
55,1892.0
56,1838.0
57,1840.0
58,2014.0
59,1555.0
60,2354.0
61,2622.0
62,2133.0
63,1809.0
64,2065.0
65,1789.0
66,1913.0
67,2455.0
68,1595.0
69,2352.0
70,2192.0
71,1750.0
72,1916.0
73,1857.0
74,2076.0
75,1708.0
76,1381.0
77,1479.0
78,2326.0
79,1947.0
80,1850.0
81,2518.0
82,2157.0
83,1874.0
84,1382.0
85,1965.0
86,2267.0
87,1728.0
88,1436.0
89,2620.0
90,1643.0
91,2136.0
92,1777.0
93,2253.0
94,2046.0
95,2126.0
96,2136.0
97,2072.0
98,1499.0
99,2227.0
100,2028.0
101,1785.0
102,2079.0
103,1883.0
104,2307.0
105,2395.0
106,1421.0
107,2016.0
108,1978.0
109,2043.0
110,1773.0
111,1724.0
112,2338.0
113,2203.0
114,1836.0
115,2226.0
116,2339.0
117,1846.0
118,2084.0
119,1950.0
120,1417.0
121,2126.0
122,1445.0
123,1522.0
124,1815.0
125,1986.0
126,2015.0
127,1788.0
128,2287.0
129,1543.0
130,1614.0
131,1612.0
132,2356.0
133,2399.0
134,1814.0
135,1891.0
136,1728.0
137,1650.0
138,1816.0
139,1929.0
140,1961.0
141,2088.0
142,2036.0
143,2303.0
144,1569.0
145,2138.0
146,2429.0
147,2297.0
148,2482.0
149,1789.0
150,2123.0
151,1689.0
152,1841.0
153,1784.0
154,2284.0
155,2306.0
156,2509.0
157,2486.0
158,2468.0
159,1946.0
160,1949.0
161,1327.0
162,1860.0
163,2226.0
164,2061.0
165,2050.0
166,2092.0
167,2347.0
168,2106.0
169,2633.0
170,2570.0
171,1962.0
172,1723.0
173,1802.0
174,2108.0
175,2547.0
176,1817.0
177,1786.0
178,1907.0
179,2069.0
180,2184.0
181,2001.0
182,2363.0
183,1478.0
184,2113.0
185,2126.0
186,1568.0
187,2047.0
188,2022.0
189,1891.0
190,1781.0
191,2131.0
192,1697.0
193,2325.0
194,1586.0
195,1435.0
196,2104.0
197,1909.0
198,1594.0
199,2107.0
200,2071.0
201,1478.0
202,2129.0
203,1827.0
204,2171.0
205,2099.0
206,2227.0
207,2120.0
208,2072.0
209,2002.0
210,2011.0
211,2255.0
212,2544.0
213,1937.0
214,1726.0
215,1456.0
216,1781.0
217,1748.0
218,1991.0
219,1948.0
220,2382.0
221,1867.0
222,1461.0
223,1833.0
224,1489.0
225,1646.0
226,2025.0
227,2126.0
228,2118.0
229,2485.0
230,1859.0
231,2209.0
232,1448.0
233,2036.0
234,1726.0
235,2052.0
236,1933.0
237,1867.0
238,1724.0
239,1558.0
240,1905.0
241,2142.0
242,2330.0
243,2139.0
244,1564.0
245,1783.0
246,1318.0
247,1762.0
248,1904.0
249,2164.0
250,1839.0
251,1861.0
252,1749.0
253,1963.0
254,2182.0
255,2249.0
256,2071.0
257,1984.0
258,1498.0
259,1888.0
260,1713.0
261,1575.0
262,1967.0
263,1946.0
264,1873.0
265,2172.0
266,1792.0
267,2000.0
268,1978.0
269,2096.0
270,2444.0
271,2223.0
272,1940.0
273,2106.0
274,2092.0
275,1617.0
276,2079.0
277,2119.0
278,2092.0
279,2278.0
280,1961.0
281,1974.0
282,2066.0
283,2038.0
284,2140.0
285,1668.0
286,1822.0
287,2239.0
288,2163.0
289,1778.0
290,1815.0
291,2306.0
292,2338.0
293,2217.0
294,1726.0
295,1587.0
296,1798.0
297,1945.0
298,2216.0
299,1643.0
