RunIndex,Score
0,1703.0
1,1727.0
2,1196.0
3,1771.0
4,1643.0
5,1407.0
6,1902.0
7,1486.0
8,1979.0
9,1836.0
10,1409.0
11,1869.0
12,2323.0
13,1765.0
14,1823.0
15,1966.0
16,1437.0
17,2055.0
18,1871.0
19,1190.0
20,1808.0
21,1631.0
22,1890.0
23,2398.0
24,1518.0
25,2285.0
26,1516.0
27,1892.0
28,1754.0
29,1407.0
30,1278.0
31,2154.0
32,2054.0
33,1742.0
34,1507.0
35,2151.0
36,1809.0
37,2123.0
38,1322.0
39,1731.0
40,1566.0
41,2248.0
42,2360.0
43,1602.0
44,2618.0
45,1453.0
46,1894.0
47,2093.0
48,1831.0
49,1988.0
50,1899.0
51,1837.0
52,2012.0
53,1858.0
54,1665.0
55,1516.0
56,1345.0
57,2035.0
58,1558.0
59,2121.0
60,1982.0
61,2269.0
62,2511.0
63,2355.0
64,2088.0
65,1480.0
66,2514.0
67,2195.0
68,2025.0
69,1292.0
70,1741.0
71,2132.0
72,2220.0
73,2039.0
74,1689.0
75,1482.0
76,1853.0
77,1898.0
78,1637.0
79,1819.0
80,1336.0
81,2009.0
82,2168.0
83,2035.0
84,1659.0
85,1964.0
86,2174.0
87,1307.0
88,2201.0
89,1795.0
90,2294.0
91,1596.0
92,1918.0
93,2024.0
94,1698.0
95,2056.0
96,1717.0
97,2142.0
98,2376.0
99,1495.0
100,2346.0
101,1659.0
102,1853.0
103,1889.0
104,1199.0
105,1493.0
106,1765.0
107,2142.0
108,2069.0
109,1767.0
110,1974.0
111,1268.0
112,1980.0
113,2196.0
114,1636.0
115,1584.0
116,1624.0
117,1514.0
118,1406.0
119,1824.0
120,1660.0
121,2611.0
122,1381.0
123,1288.0
124,2090.0
125,2185.0
126,2019.0
127,2351.0
128,2387.0
129,1657.0
130,1725.0
131,1832.0
132,2162.0
133,2324.0
134,1545.0
135,2313.0
136,1629.0
137,1795.0
138,1774.0
139,1910.0
140,1958.0
141,1675.0
142,2407.0
143,1817.0
144,1697.0
145,1958.0
146,1818.0
147,1781.0
148,2112.0
149,2345.0
150,2283.0
151,1139.0
152,1603.0
153,2278.0
154,1658.0
155,1808.0
156,1637.0
157,1816.0
158,2377.0
159,1934.0
160,1636.0
161,1877.0
162,1695.0
163,1505.0
164,1336.0
165,1911.0
166,1574.0
167,1899.0
168,1860.0
169,1996.0
170,1938.0
171,1945.0
172,1555.0
173,1625.0
174,1795.0
175,2071.0
176,1756.0
177,1272.0
178,1893.0
179,2232.0
180,1298.0
181,1608.0
182,2407.0
183,2423.0
184,1660.0
185,2220.0
186,1751.0
187,2317.0
188,1625.0
189,1593.0
190,2479.0
191,2147.0
192,1792.0
193,1708.0
194,1732.0
195,1829.0
196,1874.0
197,1416.0
198,1748.0
199,1686.0
