RunIndex,Score
0,1809.0
1,1914.0
2,1948.0
3,2078.0
4,1944.0
5,1557.0
6,1608.0
7,1610.0
8,2149.0
9,1847.0
10,2301.0
11,2288.0
12,1600.0
13,1541.0
14,1693.0
15,2063.0
16,1645.0
17,1409.0
18,1864.0
19,1452.0
20,1686.0
21,1824.0
22,1583.0
23,1739.0
24,1961.0
25,2252.0
26,1447.0
27,1974.0
28,1415.0
29,1482.0
30,1142.0
31,2100.0
32,1247.0
33,2006.0
34,1527.0
35,1649.0
36,1668.0
37,1645.0
38,1331.0
39,1830.0
40,1972.0
41,1957.0
42,1732.0
43,1690.0
44,2126.0
45,2514.0
46,2107.0
47,1672.0
48,2010.0
49,1803.0
50,1916.0
51,1627.0
52,1852.0
53,952.0
54,2198.0
55,1830.0
56,1493.0
57,2356.0
58,2019.0
59,1740.0
60,2174.0
61,2377.0
62,2468.0
63,2453.0
64,1655.0
65,1646.0
66,2302.0
67,1506.0
68,2320.0
69,1517.0
70,2390.0
71,1931.0
72,1788.0
73,1446.0
74,1889.0
75,1869.0
76,2185.0
77,1784.0
78,2146.0
79,1560.0
80,1636.0
81,1635.0
82,1501.0
83,1340.0
84,1909.0
85,1819.0
86,1582.0
87,2217.0
88,1612.0
89,2553.0
90,1782.0
91,2392.0
92,1494.0
93,1891.0
94,1626.0
95,1501.0
96,1863.0
97,1853.0
98,2017.0
99,1869.0
100,1539.0
101,1522.0
102,2073.0
103,1973.0
104,1654.0
105,1800.0
106,1601.0
107,2180.0
108,2004.0
109,1976.0
110,1773.0
111,2114.0
112,1616.0
113,2126.0
114,1795.0
115,1437.0
116,1517.0
117,1710.0
118,1770.0
119,2337.0
120,2225.0
121,1765.0
122,1875.0
123,1731.0
124,1798.0
125,1528.0
126,1298.0
127,1473.0
128,1555.0
129,1758.0
130,1860.0
131,1475.0
132,1678.0
133,1958.0
134,1827.0
135,1691.0
136,1964.0
137,1693.0
138,1410.0
139,1253.0
140,1817.0
141,1904.0
142,1546.0
143,1678.0
144,2097.0
145,2534.0
146,2124.0
147,1868.0
148,2133.0
149,1847.0
150,1854.0
151,1970.0
152,2070.0
153,1951.0
154,2052.0
155,2596.0
156,1945.0
157,1501.0
158,1345.0
159,1519.0
160,1380.0
161,1686.0
162,1633.0
163,1953.0
164,1305.0
165,1470.0
166,1789.0
167,1216.0
168,1388.0
169,1787.0
170,1505.0
171,1653.0
172,1819.0
173,2249.0
174,1442.0
175,2065.0
176,1857.0
177,2297.0
178,1373.0
179,1371.0
180,1472.0
181,2113.0
182,1602.0
183,1366.0
184,1600.0
185,2796.0
186,1502.0
187,1559.0
188,2123.0
189,1995.0
190,2610.0
191,1631.0
192,1946.0
193,1887.0
194,1612.0
195,1829.0
196,1249.0
197,2044.0
198,1380.0
199,1621.0
