RunIndex,Score
0,977.0
1,907.0
2,907.0
3,954.0
4,865.0
5,926.0
6,817.0
7,991.0
8,997.0
9,1078.0
10,1288.0
11,1145.0
12,653.0
13,1168.0
14,880.0
15,889.0
16,1147.0
17,1047.0
18,1023.0
19,1034.0
20,578.0
21,810.0
22,1048.0
23,898.0
24,1070.0
25,972.0
26,1334.0
27,890.0
28,1183.0
29,885.0
30,987.0
31,804.0
32,1009.0
33,961.0
34,854.0
35,680.0
36,1220.0
37,638.0
38,1360.0
39,1214.0
40,969.0
41,814.0
42,1157.0
43,1059.0
44,950.0
45,797.0
46,775.0
47,780.0
48,708.0
49,1200.0
50,1191.0
51,949.0
52,1125.0
53,588.0
54,1233.0
55,877.0
56,757.0
57,1272.0
58,910.0
59,1229.0
60,1198.0
61,1148.0
62,741.0
63,1059.0
64,1017.0
65,1131.0
66,1287.0
67,805.0
68,1054.0
69,963.0
70,989.0
71,968.0
72,934.0
73,1026.0
74,1010.0
75,935.0
76,1045.0
77,818.0
78,1169.0
79,842.0
80,984.0
81,918.0
82,946.0
83,812.0
84,597.0
85,1011.0
86,481.0
87,623.0
88,818.0
89,931.0
90,1256.0
91,1332.0
92,1063.0
93,967.0
94,1114.0
95,974.0
96,1331.0
97,1129.0
98,968.0
99,1158.0
100,1047.0
101,1023.0
102,1191.0
103,926.0
104,963.0
105,1197.0
106,1037.0
107,810.0
108,1147.0
109,1319.0
110,797.0
111,1046.0
112,1298.0
113,866.0
114,786.0
115,892.0
116,1042.0
117,934.0
118,685.0
119,690.0
120,863.0
121,926.0
122,1267.0
123,1195.0
124,1087.0
125,806.0
126,1112.0
127,589.0
128,1309.0
129,1068.0
130,1111.0
131,774.0
132,713.0
133,829.0
134,1117.0
135,954.0
136,910.0
137,1115.0
138,682.0
139,961.0
140,1212.0
141,926.0
142,849.0
143,760.0
144,1140.0
145,1198.0
146,1231.0
147,915.0
148,1070.0
149,762.0
150,1005.0
151,786.0
152,1346.0
153,929.0
154,966.0
155,1068.0
156,853.0
157,1243.0
158,1292.0
159,1254.0
160,1009.0
161,801.0
162,711.0
163,871.0
164,803.0
165,806.0
166,922.0
167,1030.0
168,938.0
169,1282.0
170,1382.0
171,1078.0
172,1203.0
173,1162.0
174,830.0
175,835.0
176,1031.0
177,1318.0
178,857.0
179,699.0
180,988.0
181,610.0
182,1010.0
183,1108.0
184,1128.0
185,574.0
186,1049.0
187,916.0
188,893.0
189,1311.0
190,1384.0
191,1262.0
192,933.0
193,1099.0
194,857.0
195,908.0
196,768.0
197,764.0
198,1329.0
199,1161.0
200,811.0
201,818.0
202,1300.0
203,1037.0
204,747.0
205,977.0
206,1483.0
207,696.0
208,1096.0
209,1246.0
210,957.0
211,937.0
212,829.0
213,868.0
214,848.0
215,1050.0
216,629.0
217,964.0
218,1194.0
219,1240.0
220,1082.0
221,778.0
222,1085.0
223,636.0
224,756.0
225,1317.0
226,1203.0
227,978.0
228,1297.0
229,840.0
230,1138.0
231,1014.0
232,749.0
233,969.0
234,919.0
235,730.0
236,913.0
237,1032.0
238,847.0
239,893.0
240,1344.0
241,898.0
242,715.0
243,1406.0
244,1368.0
245,975.0
246,1050.0
247,875.0
248,809.0
249,707.0
250,1017.0
251,953.0
252,762.0
253,1121.0
254,1225.0
255,1110.0
256,1157.0
257,709.0
258,866.0
259,801.0
260,1074.0
261,811.0
262,1188.0
263,929.0
264,883.0
265,880.0
266,1184.0
267,1165.0
268,744.0
269,1028.0
270,1072.0
271,1232.0
272,991.0
273,933.0
274,1163.0
275,1225.0
276,1025.0
277,1228.0
278,1179.0
279,945.0
280,887.0
281,760.0
282,1140.0
283,1072.0
284,1315.0
285,1100.0
286,928.0
287,987.0
288,724.0
289,872.0
290,1453.0
291,960.0
292,930.0
293,776.0
294,886.0
295,1373.0
296,991.0
297,851.0
298,1193.0
299,822.0
